,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Salinopolis,BR,-0.6136,-47.3561,78.15,87,100,7.14,moderate rain
335,Hami,CN,42.8,93.45,51.62,21,0,5.86,clear sky
336,Cabo San Lucas,MX,22.8909,-109.9124,90.61,32,20,14.97,few clouds
337,Port Blair,IN,11.6667,92.75,80.62,76,83,2.66,broken clouds
338,Taoudenni,ML,22.6783,-3.9836,77.9,22,1,9.69,clear sky
339,Souillac,MU,-20.5167,57.5167,77.31,89,81,12.88,broken clouds
340,Asuncion,PY,-25.3007,-57.6359,67.44,73,0,8.05,clear sky
341,Siuna,NI,13.7332,-84.7773,90.72,28,10,7.54,clear sky
342,Palmer,US,42.1584,-72.3287,45.01,43,40,9.22,scattered clouds
343,Kushima,JP,31.4583,131.2333,62.6,64,100,2.59,overcast clouds
344,Jam Sahib,PK,26.2958,68.6292,82.42,59,50,11.18,scattered clouds
345,Nanortalik,GL,60.1432,-45.2371,29.39,89,51,9.71,broken clouds
